Weighted Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD/tonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,crop,crop category,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
KGZ,Potatoes,Seasonal crops,109.9,109.9,109.9,109.9,109.9,78.5,79.5,72.1,103.6,128.5,68.2,117.5,240,273.5,263.1,265.4,211.2,306.9,229.7,333.5,394.3,242.6,161,329,252.8,158.5,158.5
KGZ,Rice,Seasonal crops,309.7,309.7,309.7,309.7,309.7,276.2,356,390.4,431.3,509.1,463.3,649.3,952.8,1011.8,1266.4,1504.7,1207.8,1349.1,1533.5,1456.8,1469.8,1197.1,1026.2,958.7,970,922.9,922.9
KGZ,Sugar beet,Seasonal crops,29.1,29.1,29.1,29.1,29.1,20.1,21,21.9,25.6,29.7,24.5,27.8,33.6,36.2,70.55,104.9,97.9,49.8,52.4,59.9,54,45,45.8,45.3,46.5,45.9,45.9
KGZ,Vegetables,Seasonal crops,92.76,92.76,92.76,92.76,92.76,45.23,40.46,70.7,44.05,72.09,68.02,81.19,123.93,160.44,207.59,185.62,189.53,258.49,188.66,207.59,258.49,199.13,124.21,188.36,170.88,172.32,172.32
KGZ,Watermelons and squash,Seasonal crops,185.35,185.35,185.35,185.35,185.35,24.15,25,36.7,51.78,40.97,41.22,62.06,72.74,90.52,118.96,78.27,85.66,118.99,108.09,181.8,138.27,108.74,121.16,222.3,211.29,257.42,257.42
KGZ,Wheat,Seasonal crops,118.7,118.7,118.7,118.7,118.7,118.7,109.6,121.6,100.9,89.4,137.4,153.6,137.1,232.9,389.8,202.1,155.6,278.4,271.4,290.6,262.3,234.4,168.7,179,182.4,188.8,188.8
TJK,Apples,Perennial crops,197.5,197.5,197.5,197.5,197.5,197.5,197.5,201.5,260.1,445.2,493.9,545.1,544.8,406.7,437.2,410.4,411.1,650.7,844.3,844.3,846.7,846.7,650.7,379.2,263.6,227.3,227.3
TJK,Barley,Seasonal crops,126.7,126.7,126.7,126.7,126.7,126.7,126.7,159.8,103.8,125.1,159.6,167.8,178.9,174.3,180.7,169,182.7,260.3,316.6,316.6,205.3,205.3,205.3,205.3,185.5,215.7,215.7
TJK,Corn,Seasonal crops,114.2,114.2,114.2,114.2,114.2,114.2,114.2,127.3,93.3,98,177.7,199.4,164.3,131.3,228.2,241.4,456.7,477.2,358.8,358.8,183.1,183.1,183.1,183.1,206.9,210.1,210.1
TJK,Cotton,Seasonal crops,307,307,307,307,307,307,307,307,307,307,319.8,309.6,297.1,252.7,241.9,458.6,502.4,477.2,485.5,485.5,485.5,485.5,485.5,485.5,485.5,485.5,485.5
TJK,Grapes,Perennial crops,375.7,375.7,375.7,375.7,375.7,375.7,375.7,286.2,379.9,555.3,671.9,688.9,753.7,1170.7,583,531.1,433.9,650.7,1055.4,1055.4,204.9,204.9,281.6,395.1,274.2,221.7,221.7
TJK,Oil seeds and pulses,Seasonal crops,42.66,42.66,42.66,42.66,42.66,42.66,42.66,68.65,45.2,109.94,54.39,116.62,193.6,194.31,133.11,79.37,150.41,159.86,215.82,215.82,215.82,215.82,215.82,215.82,215.82,215.82,215.82
TJK,Other crops,Seasonal crops,243.4,243.4,243.4,243.4,243.4,243.4,243.4,235.47,203.86,323.27,340.44,474.64,426.47,404.9,402.87,356.07,373.42,340.94,324.36,324.36,0.47,0.47,0.27,31.16,45.17,39.33,39.33
TJK,Other grains,Seasonal crops,25.4,25.4,25.4,25.4,25.4,25.4,25.4,3.69,52.62,55.64,59.78,75.08,86.3,99.42,102.18,90.88,321.52,396.75,242.46,242.46,242.46,130.42,130.42,130.42,137.3,135.26,135.26
TJK,Other orchards,Perennial crops,154.22,154.22,154.22,154.22,154.22,154.22,154.22,264.54,313.55,457.57,457.88,499.86,461.63,458.56,537.55,576.55,621.37,843.61,1406.63,1406.63,273.82,273.82,212.64,386.59,277,273.65,273.65
